location_lact_list,Lactation Group,date_time_period_start,date_time_period_end,ct_animal_days_elig,days_in_time_period,deno_type,dop_start,dop_end,dop_in_interval,dop_complete,day_of_phase_group,metric,ct
Herd 2108e,Heifer,2020-10-05,2021-10-06,551154,366,dop_lact_basic,420,449,29,complete,420 to 449,ct_animal_lactations,1602
Herd 2108e,Heifer,2020-10-05,2021-10-06,551154,366,dop_lact_basic,420,449,29,complete,420 to 449,ct_animals,1602
Herd 2108e,Heifer,2020-10-05,2021-10-06,551154,366,dop_lact_basic,420,449,29,complete,420 to 449,ct_animal_time_periods,1505.8852459016393
Herd 2108e,Heifer,2020-10-05,2021-10-06,100489,366,dop_lact_basic,420,449,29,incomplete,420 to 449,ct_animal_lactations,365
Herd 2108e,Heifer,2020-10-05,2021-10-06,100489,366,dop_lact_basic,420,449,29,incomplete,420 to 449,ct_animals,365
Herd 2108e,Heifer,2020-10-05,2021-10-06,100489,366,dop_lact_basic,420,449,29,incomplete,420 to 449,ct_animal_time_periods,274.5601092896175
Herd 2108e,Heifer,2020-10-05,2021-10-06,536383,366,dop_lact_basic,450,479,29,complete,450 to 479,ct_animal_lactations,1606
Herd 2108e,Heifer,2020-10-05,2021-10-06,536383,366,dop_lact_basic,450,479,29,complete,450 to 479,ct_animals,1606
Herd 2108e,Heifer,2020-10-05,2021-10-06,536383,366,dop_lact_basic,450,479,29,complete,450 to 479,ct_animal_time_periods,1465.5273224043715
Herd 2108e,Heifer,2020-10-05,2021-10-06,79856,366,dop_lact_basic,450,479,29,incomplete,450 to 479,ct_animal_lactations,272
Herd 2108e,Heifer,2020-10-05,2021-10-06,79856,366,dop_lact_basic,450,479,29,incomplete,450 to 479,ct_animals,272
Herd 2108e,Heifer,2020-10-05,2021-10-06,79856,366,dop_lact_basic,450,479,29,incomplete,450 to 479,ct_animal_time_periods,218.18579234972677
Herd 2108e,Heifer,2020-10-05,2021-10-06,666706,366,dop_lact_basic,480,Inf,Inf,incomplete,480 to Inf,ct_animal_lactations,2739
Herd 2108e,Heifer,2020-10-05,2021-10-06,666706,366,dop_lact_basic,480,Inf,Inf,incomplete,480 to Inf,ct_animals,2739
Herd 2108e,Heifer,2020-10-05,2021-10-06,666706,366,dop_lact_basic,480,Inf,Inf,incomplete,480 to Inf,ct_animal_time_periods,1821.6010928961748
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,622102,366,dop_lact_basic,-Inf,0,Inf,incomplete,-Inf to 0,ct_animal_lactations,4060
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,622102,366,dop_lact_basic,-Inf,0,Inf,incomplete,-Inf to 0,ct_animals,4000
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,622102,366,dop_lact_basic,-Inf,0,Inf,incomplete,-Inf to 0,ct_animal_time_periods,1699.7322404371585
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,617841,366,dop_lact_basic,0,29,29,complete,0 to 29,ct_animal_lactations,3763
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,617841,366,dop_lact_basic,0,29,29,complete,0 to 29,ct_animals,3762
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,617841,366,dop_lact_basic,0,29,29,complete,0 to 29,ct_animal_time_periods,1688.0901639344263
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,98238,366,dop_lact_basic,0,29,29,incomplete,0 to 29,ct_animal_lactations,619
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,98238,366,dop_lact_basic,0,29,29,incomplete,0 to 29,ct_animals,551
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,98238,366,dop_lact_basic,0,29,29,incomplete,0 to 29,ct_animal_time_periods,268.40983606557376
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,699807,366,dop_lact_basic,30,59,29,complete,30 to 59,ct_animal_lactations,3732
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,699807,366,dop_lact_basic,30,59,29,complete,30 to 59,ct_animals,3728
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,699807,366,dop_lact_basic,30,59,29,complete,30 to 59,ct_animal_time_periods,1912.0409836065573
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,101550,366,dop_lact_basic,30,59,29,incomplete,30 to 59,ct_animal_lactations,655
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,101550,366,dop_lact_basic,30,59,29,incomplete,30 to 59,ct_animals,574
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,101550,366,dop_lact_basic,30,59,29,incomplete,30 to 59,ct_animal_time_periods,277.4590163934426
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,767852,366,dop_lact_basic,60,89,29,complete,60 to 89,ct_animal_lactations,3720
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,767852,366,dop_lact_basic,60,89,29,complete,60 to 89,ct_animals,3718
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,767852,366,dop_lact_basic,60,89,29,complete,60 to 89,ct_animal_time_periods,2097.9562841530055
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,97195,366,dop_lact_basic,60,89,29,incomplete,60 to 89,ct_animal_lactations,599
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,97195,366,dop_lact_basic,60,89,29,incomplete,60 to 89,ct_animals,532
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,97195,366,dop_lact_basic,60,89,29,incomplete,60 to 89,ct_animal_time_periods,265.5601092896175
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,814373,366,dop_lact_basic,90,119,29,complete,90 to 119,ct_animal_lactations,3692
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,814373,366,dop_lact_basic,90,119,29,complete,90 to 119,ct_animals,3691
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,814373,366,dop_lact_basic,90,119,29,complete,90 to 119,ct_animal_time_periods,2225.062841530055
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,88964,366,dop_lact_basic,90,119,29,incomplete,90 to 119,ct_animal_lactations,542
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,88964,366,dop_lact_basic,90,119,29,incomplete,90 to 119,ct_animals,480
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,88964,366,dop_lact_basic,90,119,29,incomplete,90 to 119,ct_animal_time_periods,243.07103825136613
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,837905,366,dop_lact_basic,120,149,29,complete,120 to 149,ct_animal_lactations,3633
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,837905,366,dop_lact_basic,120,149,29,complete,120 to 149,ct_animals,3632
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,837905,366,dop_lact_basic,120,149,29,complete,120 to 149,ct_animal_time_periods,2289.3579234972676
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,94651,366,dop_lact_basic,120,149,29,incomplete,120 to 149,ct_animal_lactations,568
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,94651,366,dop_lact_basic,120,149,29,incomplete,120 to 149,ct_animals,505
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,94651,366,dop_lact_basic,120,149,29,incomplete,120 to 149,ct_animal_time_periods,258.60928961748635
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,851101,366,dop_lact_basic,150,179,29,complete,150 to 179,ct_animal_lactations,3572
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,851101,366,dop_lact_basic,150,179,29,complete,150 to 179,ct_animals,3571
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,851101,366,dop_lact_basic,150,179,29,complete,150 to 179,ct_animal_time_periods,2325.412568306011
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,100178,366,dop_lact_basic,150,179,29,incomplete,150 to 179,ct_animal_lactations,602
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,100178,366,dop_lact_basic,150,179,29,incomplete,150 to 179,ct_animals,528
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,100178,366,dop_lact_basic,150,179,29,incomplete,150 to 179,ct_animal_time_periods,273.7103825136612
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,854618,366,dop_lact_basic,180,209,29,complete,180 to 209,ct_animal_lactations,3528
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,854618,366,dop_lact_basic,180,209,29,complete,180 to 209,ct_animals,3527
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,854618,366,dop_lact_basic,180,209,29,complete,180 to 209,ct_animal_time_periods,2335.0218579234975
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,88719,366,dop_lact_basic,180,209,29,incomplete,180 to 209,ct_animal_lactations,551
